author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/296560995/,Новосибирск,sale,flat,29,29,2,65.92,-1,0,10481280,Дзержинский,Закаменский мкр,20,Березовая Роща,Менделеев
Вертикаль,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/283423454/,Новосибирск,sale,flat,6,10,1,34.0,-1,0,2550000,Октябрьский, В. Высоцкого,144/2,Золотая Нива,Плющихинский
Брусника,developer,https://novosibirsk.cian.ru/sale/flat/299237182/,Новосибирск,sale,flat,15,17,3,87.3,-1,0,12500000,Октябрьский,,,,мкр. Европейский Берег
ДомианНСК,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/300279851/,Новосибирск,sale,flat,5,9,2,40.1,-1,0,3870000,Ленинский,Широкая ,17,Площадь Маркса,
Rebrend,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/304104137/,Новосибирск,sale,flat,4,29,3,69.4,-1,0,14990000,Октябрьский,Военная ,51,Октябрьская,Тихомиров
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/303845240/,Новосибирск,sale,flat,9,29,1,45.17,-1,0,7678900,Дзержинский,Закаменский мкр,20,Березовая Роща,Менделеев
Квартирный портал,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/304043801/,Новосибирск,sale,flat,7,10,1,41.0,-1,0,5300000,Кировский,Тульская ,90/1,Площадь Маркса,
Люди,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303617132/,Новосибирск,sale,flat,1,2,2,43.0,-1,0,3750000,Заельцовский,Кубовая ,91/1,Заельцовская,
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/296561730/,Новосибирск,sale,flat,4,8,1,18.25,-1,0,4288750,Железнодорожный, Ленина,85,Площадь Гарина-Михайловского,Апартаменты Пилигрим
Квартирный портал,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/295907039/,Новосибирск,sale,flat,9,17,1,32.0,-1,0,3960000,Кировский, Сибиряков-Гвардейцев,53/10,Площадь Маркса,Цветной бульвар
